Train Time,Train Bid_ask_spread,Test Time,Test Bid_ask_spread,Predicted Train Time,Predicted Bid_ask_spread
07:30:00,0.0,,,07:30:00,0.0
07:30:01,-325.0,,,07:30:01,-325.0
07:30:02,399.38,,,07:30:02,399.38
07:30:03,388.0,,,07:30:03,388.0
07:30:04,388.0,,,07:30:04,388.0
07:30:05,182.82,,,07:30:05,182.82
07:30:06,40.6,,,07:30:06,40.6
07:30:07,23.67,,,07:30:07,23.67
07:30:08,31.17,,,07:30:08,31.17
07:30:09,29.56,,,07:30:09,29.56
07:30:10,27.0,,,07:30:10,27.0
07:30:11,5.74,,,07:30:11,5.74
07:30:12,7.0,,,07:30:12,7.0
07:30:13,5.28,,,07:30:13,5.28
07:30:14,4.9,,,07:30:14,4.9
07:30:15,7.06,,,07:30:15,7.06
07:30:16,4.86,,,07:30:16,4.86
07:30:17,3.36,,,07:30:17,3.36
07:30:18,2.23,,,07:30:18,2.23
07:30:19,5.79,,,07:30:19,5.79
07:30:20,13.15,,,07:30:20,13.15
07:30:21,11.95,,,07:30:21,11.95
07:30:22,13.0,,,07:30:22,13.0
07:30:23,11.64,,,07:30:23,11.64
07:30:24,10.59,,,07:30:24,10.59
07:30:25,7.23,,,07:30:25,7.23
07:30:26,6.0,,,07:30:26,6.0
07:30:27,4.64,,,07:30:27,4.64
07:30:28,3.69,,,07:30:28,3.69
07:30:29,7.13,,,07:30:29,7.13
07:30:30,8.1,,,07:30:30,8.1
07:30:31,5.76,,,07:30:31,5.76
07:30:32,2.62,,,07:30:32,2.62
07:30:33,1.91,,,07:30:33,1.91
07:30:34,2.33,,,07:30:34,2.33
07:30:35,4.1,,,07:30:35,4.1
07:30:36,3.9,,,07:30:36,3.9
07:30:37,4.0,,,07:30:37,4.0
07:30:38,3.4,,,07:30:38,3.4
07:30:39,3.16,,,07:30:39,3.16
07:30:40,10.0,,,07:30:40,10.0
07:30:41,10.0,,,07:30:41,10.0
07:30:42,8.33,,,07:30:42,8.33
07:30:43,4.89,,,07:30:43,4.89
07:30:44,5.22,,,07:30:44,5.22
07:30:45,5.29,,,07:30:45,5.29
07:30:46,10.32,,,07:30:46,10.32
07:30:47,2.11,,,07:30:47,2.11
07:30:48,1.14,,,07:30:48,1.14
07:30:49,6.57,,,07:30:49,6.57
07:30:50,9.47,,,07:30:50,9.47
07:30:51,7.1,,,07:30:51,7.1
07:30:52,6.93,,,07:30:52,6.93
07:30:53,4.57,,,07:30:53,4.57
07:30:54,6.33,,,07:30:54,6.33
07:30:55,1.0,,,07:30:55,1.0
07:30:56,1.0,,,07:30:56,1.0
07:30:57,1.2,,,07:30:57,1.2
07:30:58,15.15,,,07:30:58,15.15
07:30:59,13.23,,,07:30:59,13.23
07:31:00,10.44,,,07:31:00,10.44
07:31:01,5.32,,,07:31:01,5.32
07:31:02,5.44,,,07:31:02,5.44
07:31:03,3.9,,,07:31:03,3.9
07:31:04,2.44,,,07:31:04,2.44
07:31:05,6.9,,,07:31:05,6.9
07:31:06,7.67,,,07:31:06,7.67
07:31:07,5.93,,,07:31:07,5.93
07:31:08,15.62,,,07:31:08,15.62
07:31:09,30.11,,,07:31:09,30.11
07:31:10,162.89,,,07:31:10,162.89
07:31:11,46.27,,,07:31:11,46.27
07:31:12,202.38,,,07:31:12,202.38
07:31:13,72.44,,,07:31:13,72.44
07:31:14,76.17,,,07:31:14,76.17
07:31:15,66.38,,,07:31:15,66.38
07:31:16,34.24,,,07:31:16,34.24
07:31:17,65.67,,,07:31:17,65.67
07:31:18,49.31,,,07:31:18,49.31
07:31:19,55.0,,,07:31:19,55.0
07:31:20,34.89,,,07:31:20,34.89
07:31:21,57.79,,,07:31:21,57.79
07:31:22,39.58,,,07:31:22,39.58
07:31:23,14.22,,,07:31:23,14.22
07:31:24,8.04,,,07:31:24,8.04
07:31:25,4.52,,,07:31:25,4.52
07:31:26,1.66,,,07:31:26,1.66
07:31:27,4.31,,,07:31:27,4.31
07:31:28,2.85,,,07:31:28,2.85
07:31:29,1.91,,,07:31:29,1.91
07:31:30,79.29,,,07:31:30,79.29
07:31:31,231.0,,,07:31:31,231.0
07:31:32,231.0,,,07:31:32,231.0
07:31:33,245.05,,,07:31:33,245.05
07:31:34,18.17,,,07:31:34,18.17
07:31:35,14.04,,,07:31:35,14.04
07:31:36,1.97,,,07:31:36,1.97
07:31:37,1.5,,,07:31:37,1.5
07:31:38,1.0,,,07:31:38,1.0
07:31:39,1.0,,,07:31:39,1.0
07:31:40,7.14,,,07:31:40,7.14
07:31:41,8.0,,,07:31:41,8.0
07:31:42,7.06,,,07:31:42,7.06
07:31:43,6.2,,,07:31:43,6.2
07:31:44,6.8,,,07:31:44,6.8
07:31:45,7.21,,,07:31:45,7.21
07:31:46,3.31,,,07:31:46,3.31
07:31:47,2.42,,,07:31:47,2.42
07:31:48,1.0,,,07:31:48,1.0
07:31:49,3.57,,,07:31:49,3.57
07:31:50,5.99,,,07:31:50,5.99
07:31:51,5.4,,,07:31:51,5.4
07:31:52,3.1,,,07:31:52,3.1
07:31:53,3.0,,,07:31:53,3.0
07:31:54,2.8,,,07:31:54,2.8
07:31:55,2.25,,,07:31:55,2.25
07:31:56,5.43,,,07:31:56,5.43
07:31:57,14.0,,,07:31:57,14.0
07:31:58,13.39,,,07:31:58,13.39
07:31:59,12.0,,,07:31:59,12.0
07:32:00,16.04,,,07:32:00,16.04
07:32:01,14.47,,,07:32:01,14.47
07:32:02,6.0,,,07:32:02,6.0
07:32:03,15.9,,,07:32:03,15.9
07:32:04,10.63,,,07:32:04,10.63
07:32:05,4.0,,,07:32:05,4.0
07:32:06,2.27,,,07:32:06,2.27
07:32:07,1.51,,,07:32:07,1.51
07:32:08,6.18,,,07:32:08,6.18
07:32:09,2.45,,,07:32:09,2.45
07:32:10,2.0,,,07:32:10,2.0
07:32:11,2.0,,,07:32:11,2.0
07:32:12,1.71,,,07:32:12,1.71
07:32:13,2.36,,,07:32:13,2.36
07:32:14,1.33,,,07:32:14,1.33
07:32:15,3.34,,,07:32:15,3.34
07:32:16,3.78,,,07:32:16,3.78
07:32:17,10.86,,,07:32:17,10.86
07:32:18,11.27,,,07:32:18,11.27
07:32:19,8.35,,,07:32:19,8.35
07:32:20,5.71,,,07:32:20,5.71
07:32:21,4.54,,,07:32:21,4.54
07:32:22,3.31,,,07:32:22,3.31
07:32:23,2.83,,,07:32:23,2.83
07:32:24,1.21,,,07:32:24,1.21
07:32:25,2.92,,,07:32:25,2.92
07:32:26,4.24,,,07:32:26,4.24
07:32:27,19.12,,,07:32:27,19.12
07:32:28,108.77,,,07:32:28,108.77
07:32:29,3.95,,,07:32:29,3.95
07:32:30,2.07,,,07:32:30,2.07
07:32:31,1.86,,,07:32:31,1.86
07:32:32,9.93,,,07:32:32,9.93
07:32:33,11.77,,,07:32:33,11.77
07:32:34,7.56,,,07:32:34,7.56
07:32:35,4.46,,,07:32:35,4.46
07:32:36,1.0,,,07:32:36,1.0
07:32:37,2.15,,,07:32:37,2.15
07:32:38,10.0,,,07:32:38,10.0
07:32:39,12.89,,,07:32:39,12.89
07:32:40,8.31,,,07:32:40,8.31
07:32:41,8.0,,,07:32:41,8.0
07:32:42,7.79,,,07:32:42,7.79
07:32:43,7.0,,,07:32:43,7.0
07:32:44,6.97,,,07:32:44,6.97
07:32:45,5.08,,,07:32:45,5.08
07:32:46,5.86,,,07:32:46,5.86
07:32:47,4.38,,,07:32:47,4.38
07:32:48,1.64,,,07:32:48,1.64
07:32:49,4.6,,,07:32:49,4.6
07:32:50,8.36,,,07:32:50,8.36
07:32:51,6.47,,,07:32:51,6.47
07:32:52,7.11,,,07:32:52,7.11
07:32:53,4.71,,,07:32:53,4.71
07:32:54,3.96,,,07:32:54,3.96
07:32:55,4.0,,,07:32:55,4.0
07:32:56,5.5,,,07:32:56,5.5
07:32:57,5.92,,,07:32:57,5.92
07:32:58,3.15,,,07:32:58,3.15
07:32:59,2.03,,,07:32:59,2.03
07:33:00,3.77,,,07:33:00,3.77
07:33:01,2.15,,,07:33:01,2.15
07:33:02,1.36,,,07:33:02,1.36
07:33:03,10.65,,,07:33:03,10.65
07:33:04,7.55,,,07:33:04,7.55
07:33:05,3.0,,,07:33:05,3.0
07:33:06,2.6,,,07:33:06,2.6
07:33:07,1.78,,,07:33:07,1.78
07:33:08,2.5,,,07:33:08,2.5
07:33:09,1.0,,,07:33:09,1.0
07:33:10,4.49,,,07:33:10,4.49
07:33:11,12.59,,,07:33:11,12.59
07:33:12,11.0,,,07:33:12,11.0
07:33:13,11.0,,,07:33:13,11.0
07:33:14,8.68,,,07:33:14,8.68
07:33:15,4.25,,,07:33:15,4.25
07:33:16,5.81,,,07:33:16,5.81
07:33:17,7.0,,,07:33:17,7.0
07:33:18,5.4,,,07:33:18,5.4
07:33:19,2.82,,,07:33:19,2.82
