DateTime_Hour,Bid1_Price,Bid1_Volume,Ask1_Price,Ask1_Volume,Bid2_Price,Bid2_Volume,Ask2_Price,Ask2_Volume,Mid-Price,Bid_Ask_Spread,Market_Depth_Bid,Market_Depth_Ask,Historical_Volatility,Total_volume,Cumulative_Volume_Difference,Total_Volume_Change_Corrected,Order_imbalance,Weighted_Avg_Price,Weighted_Avg_Price.1,Trade_Volume,Trade_Price_Mean
2025-01-02 07:00:00,260.8,68151.0,272.7,47626.0,255.35,75283.0,298.01,49250.0,266.75,11.9,143434.0,96876.0,5.9,240310,46558.0,645.5,0.14,249.0,270.0,2263.0,261.82
2025-01-02 08:00:00,260.59,149055.0,276.85,91202.0,256.43,162582.0,314.94,95695.0,268.72,16.26,311637.0,186897.0,6.62,498534,124740.0,-2806.0,0.17,250.0,274.0,4787.0,261.37
2025-01-02 09:00:00,270.72,173924.0,281.03,116893.0,266.14,193618.0,308.89,121499.0,275.87,10.3,367542.0,238392.0,4.04,605934,129150.0,-1264.0,0.16,253.0,288.0,5628.0,272.16
2025-01-02 10:00:00,285.52,189539.0,292.01,127378.0,282.14,205334.0,301.17,142418.0,288.76,6.49,394873.0,269796.0,2.1,664669,125077.0,-1448.0,0.13,273.0,297.0,5239.0,286.85
2025-01-02 11:00:00,290.77,161596.0,298.17,114841.0,287.22,176047.0,308.88,122278.0,294.47,7.4,337643.0,237119.0,2.22,574762,100524.0,3240.5,0.12,277.0,302.0,4636.0,292.43
2025-01-02 12:00:00,284.52,185340.0,292.6,120409.0,280.0,195620.0,305.95,129074.0,288.56,8.08,380960.0,249483.0,3.16,630443,131477.0,-1270.5,0.15,272.0,298.0,5441.0,286.1
2025-01-02 13:00:00,286.01,164108.0,294.29,125511.0,281.1,172992.0,314.33,131889.0,290.15,8.27,337100.0,257400.0,3.06,594500,79700.0,-654.5,0.08,273.0,299.0,5568.0,287.66
2025-01-02 14:00:00,286.43,186784.0,293.26,124564.0,282.88,202076.0,302.93,137419.0,289.85,6.83,388860.0,261983.0,2.22,650843,126877.0,-1927.0,0.14,273.0,298.0,5195.0,287.78
2025-01-02 15:00:00,286.89,162257.0,296.26,117260.0,282.39,184869.0,313.2,122390.0,291.57,9.37,347126.0,239650.0,3.97,586776,107476.0,2824.0,0.14,273.0,301.0,5425.0,289.19
2025-01-03 07:00:00,292.19,94958.0,302.29,60557.0,287.83,90660.0,317.73,66626.0,297.24,10.1,185618.0,127183.0,3.32,312801,58435.0,871.0,0.13,277.0,300.0,2614.0,293.57
