DateTime_Minute,Bid1_Price,Bid1_Volume,Ask1_Price,Ask1_Volume,Bid2_Price,Bid2_Volume,Ask2_Price,Ask2_Volume,Mid-Price,Bid_Ask_Spread,Market_Depth_Bid,Market_Depth_Ask,Historical_Volatility,Total_volume,Cumulative_Volume_Difference,Total_Volume_Change_Corrected,Order_imbalance,Weighted_Avg_Price,Weighted_Avg_Price,Trade_Volume,Trade_Price_Mean
2025-02-14 07:30:00,289.77,4186.0,302.71,2064.0,287.9,2509.0,309.76,2020.0,296.24,12.93,6695.0,4084.0,4.0,10779,2611.0,102.0,0.18,285.0,293.0,65.0,290.45
2025-02-14 07:31:00,285.6,3772.0,290.76,1925.0,281.7,3405.0,311.88,2192.0,288.18,5.15,7177.0,4117.0,2.61,11294,3060.0,20.5,0.23,276.0,293.0,92.0,286.88
2025-02-14 07:32:00,286.34,3692.0,291.45,2398.0,283.33,1873.0,326.97,2169.0,288.89,5.11,5565.0,4567.0,1.31,10132,998.0,139.5,0.01,278.57,293.0,86.0,288.87
2025-02-14 07:33:00,275.2,4392.0,282.34,2645.0,270.96,2794.0,290.36,3257.0,278.77,7.14,7186.0,5902.0,1.55,13088,1284.0,3.0,0.02,275.0,290.0,104.0,281.92
2025-02-14 07:34:00,286.11,4766.0,311.55,2050.0,277.5,3332.0,351.98,2322.0,298.83,25.44,8098.0,4372.0,7.08,12470,3726.0,-154.0,0.24,281.0,293.0,128.0,287.87
2025-02-14 07:35:00,288.68,2500.0,299.4,1647.0,265.57,1788.0,371.51,1555.0,294.04,10.73,4288.0,3202.0,4.44,7490,1086.0,200.0,0.06,281.0,293.0,96.0,289.46
2025-02-14 07:36:00,288.83,3218.0,293.64,1747.0,286.06,2875.0,309.74,1357.0,291.23,4.81,6093.0,3104.0,1.66,9197,2989.0,-225.5,0.3,280.0,293.0,90.0,288.37
2025-02-14 07:37:00,287.8,2267.0,294.49,2344.0,285.61,2198.0,299.52,2644.0,291.15,6.68,4465.0,4988.0,1.53,9453,-523.0,-2.0,-0.06,282.0,293.0,97.0,288.87
2025-02-14 07:38:00,282.92,2088.0,290.34,2080.0,279.41,3706.0,307.23,2340.0,286.63,7.41,5794.0,4420.0,1.83,10214,1374.0,7.0,0.08,277.0,291.0,81.0,285.21
2025-02-14 07:39:00,274.15,2286.0,280.38,2006.0,268.93,2348.0,287.93,1846.0,277.27,6.22,4634.0,3852.0,1.78,8486,782.0,96.0,0.1,274.0,285.0,91.0,278.88
2025-02-14 07:40:00,279.15,2357.0,303.69,1846.0,273.43,2760.0,334.41,2201.0,291.42,24.54,5117.0,4047.0,7.46,9164,1070.0,32.5,0.1,276.0,289.5,82.0,282.72
2025-02-14 07:41:00,283.01,2842.0,323.13,1582.0,278.39,3569.0,356.72,1854.0,303.07,40.12,6411.0,3436.0,8.1,9847,2975.0,-108.0,0.28,276.0,291.0,121.0,285.13
2025-02-14 07:42:00,288.05,2882.0,331.05,1701.0,285.1,3271.0,396.46,1743.0,309.55,43.0,6153.0,3444.0,10.6,9597,2709.0,-114.5,0.21,283.67,292.0,107.0,288.41
2025-02-14 07:43:00,287.51,2551.0,292.9,908.0,283.95,2709.0,327.79,1332.0,290.2,5.4,5260.0,2240.0,1.53,7500,3020.0,-13.0,0.34,281.0,292.0,98.0,288.16
2025-02-14 07:44:00,290.94,2589.0,297.07,1925.0,288.76,2912.0,300.51,1583.0,294.0,6.13,5501.0,3508.0,1.2,9009,1993.0,68.0,0.19,288.67,293.0,78.0,291.14
2025-02-14 07:45:00,290.43,2642.0,295.69,2156.0,288.3,2288.0,299.93,2265.0,293.06,5.27,4930.0,4421.0,1.48,9351,509.0,24.0,0.07,281.0,294.0,98.0,290.31
2025-02-14 07:46:00,291.51,4259.0,298.54,2043.0,289.14,2246.0,303.02,2664.0,295.03,7.03,6505.0,4707.0,1.5,11212,1798.0,28.0,0.07,284.0,294.0,92.0,291.73
2025-02-14 07:47:00,286.92,2484.0,294.18,1610.0,282.81,3179.0,303.61,1532.0,290.55,7.26,5663.0,3142.0,1.89,8805,2521.0,-150.0,0.28,280.0,294.0,123.0,288.27
