Trade_time,Weighted_Avg_Price,Trade_Volume
07:30:00,115.0,2
07:30:01,115.0,1
07:30:08,111.5,4
07:30:11,110.86,7
07:30:12,109.0,1
07:30:15,104.5,4
07:30:18,105.0,2
07:30:19,103.75,8
07:30:20,106.0,1
07:30:21,105.5,2
07:30:23,106.0,2
07:30:26,105.0,1
07:30:27,106.0,4
07:30:29,103.0,1
07:30:30,104.75,8
07:30:31,108.0,4
07:30:33,105.0,1
07:30:34,104.8,5
07:30:35,105.0,4
07:30:36,106.25,4
07:30:39,107.0,3
07:30:41,107.4,5
07:30:42,108.0,2
07:30:46,107.2,5
07:30:47,107.71,14
07:30:52,119.0,2
07:30:57,119.0,1
07:30:58,118.0,6
07:30:59,113.5,2
07:31:00,109.5,2
07:31:03,112.75,4
07:31:04,112.75,4
07:31:06,108.0,4
07:31:10,113.5,4
07:31:12,100.0,4
07:31:14,103.0,1
07:31:15,103.4,5
07:31:17,104.0,6
07:31:20,104.67,3
07:31:21,101.0,1
07:31:22,102.0,1
07:31:27,105.42,12
07:31:29,114.5,10
07:31:31,100.0,1
07:31:34,103.29,7
07:31:40,118.0,2
07:31:43,118.0,3
07:31:44,117.8,5
07:31:47,117.0,3
07:31:50,116.75,4
07:31:52,115.67,6
07:31:53,116.0,3
07:31:54,117.0,3
07:31:56,118.0,4
07:32:01,117.67,6
07:32:02,119.0,4
07:32:04,117.0,2
07:32:12,119.0,1
07:32:14,117.33,6
07:32:15,117.0,1
07:32:17,116.0,2
07:32:18,118.0,1
07:32:20,118.0,3
07:32:21,117.2,5
07:32:25,116.0,3
07:32:27,116.2,5
07:32:28,115.0,5
07:32:29,115.0,1
07:32:31,118.0,2
07:32:32,116.4,5
07:32:35,115.0,4
07:32:36,118.0,2
07:32:37,115.0,3
07:32:40,115.0,3
07:32:44,115.0,6
07:32:49,111.0,3
07:32:50,114.2,5
07:32:51,111.0,5
07:32:52,113.5,4
07:32:58,113.0,5
07:32:59,115.0,4
07:33:00,115.0,1
07:33:01,116.0,2
07:33:02,111.0,4
07:33:04,115.0,1
07:33:07,118.0,1
07:33:09,119.0,1
07:33:10,118.33,3
07:33:11,117.25,4
07:33:15,115.0,2
07:33:16,111.0,2
07:33:18,110.33,6
07:33:19,114.67,3
07:33:20,113.5,2
07:33:24,115.0,2
07:33:25,116.0,2
07:33:27,116.0,4
07:33:28,117.0,6
07:33:30,117.0,1
07:33:35,117.4,10
07:33:39,114.6,5
07:33:41,117.0,3
07:33:44,118.0,5
07:33:45,118.0,3
07:33:47,118.0,7
07:33:50,116.0,1
07:33:53,115.17,6
07:33:54,115.0,3
07:33:56,116.0,1
07:33:57,117.0,1
07:34:02,113.0,2
07:34:03,116.71,7
07:34:05,119.0,2
07:34:08,118.0,2
07:34:09,112.5,4
07:34:11,112.8,5
07:34:16,116.0,4
07:34:17,115.2,5
07:34:18,115.0,2
07:34:20,115.0,6
07:34:21,114.12,8
07:34:22,116.0,4
07:34:25,119.0,1
07:34:28,118.2,5
07:34:29,118.0,2
07:34:30,118.0,4
