,Future Buy Increase,Future Sell Decrease,Quantiles,Shares,Profit/Loss,Number of Transactions,Number of Buy Signals,Number of Sell Signals,Sortino Ratio,Sharpe Ratio,Max Drawdown,Calmar Ratio
0,1.01,0.99,0.6,100,4993.650828711223,52492,1313,189,0.5837969485189054,0.3885556158714442,0.6766366127110912,0.004461060863931591
1,1.01,0.99,0.6,300,4373.754640930229,52492,1090,172,0.5855760431570788,0.38965171084653233,0.6862377935947196,0.003971076985220148
2,1.01,0.99,0.6,500,4373.754640930229,52492,1090,172,0.5855760431570788,0.38965171084653233,0.6862377935947196,0.003971076985220148
3,1.01,0.99,0.7,100,9553.47165101051,52492,1798,237,0.5900613832399073,0.3909119031952756,0.6638199099974746,0.007338518086555334
4,1.01,0.99,0.7,300,8534.446139589378,52492,810,206,0.5936098070313632,0.39355729546223955,0.6642278314774247,0.006774356509458885
5,1.01,0.99,0.7,500,8534.446139589378,52492,810,206,0.5936098070313632,0.39355729546223955,0.6642278314774247,0.006774356509458885
6,1.01,0.99,0.8,100,8432.101589925169,52492,2344,272,0.5928631631132515,0.39134189753953275,0.6774366032479047,0.006582459800113468
7,1.01,0.99,0.8,300,6533.786725387639,52492,980,234,0.5946175147659171,0.3925478375253516,0.7009862319496352,0.005280952846679612
8,1.01,0.99,0.8,500,6533.786725387639,52492,980,234,0.5946175147659171,0.3925478375253516,0.7009862319496352,0.005280952846679612
9,1.01,0.98,0.6,100,-2814.7159544629358,52492,1505,25,0.5964217269313672,0.3879241689111533,0.6800646841075705,-0.0030811267865451086
10,1.01,0.98,0.6,300,-2814.7159544629358,52492,1505,25,0.5964217269313672,0.3879241689111533,0.6800646841075705,-0.0030811267865451086
11,1.01,0.98,0.6,500,-2814.7159544629358,52492,1505,25,0.5964217269313672,0.3879241689111533,0.6800646841075705,-0.0030811267865451086
12,1.01,0.98,0.7,100,-2109.174618346099,52492,1965,31,0.5972279009563856,0.38830968908360036,0.6648818731386138,-0.0021746636507207115
13,1.01,0.98,0.7,300,-2109.174618346099,52492,1965,31,0.5972279009563856,0.38830968908360036,0.6648818731386138,-0.0021746636507207115
14,1.01,0.98,0.7,500,-2109.174618346099,52492,1965,31,0.5972279009563856,0.38830968908360036,0.6648818731386138,-0.0021746636507207115
15,1.01,0.98,0.8,100,-1883.8036568063508,52492,2308,37,0.5931257384525918,0.38539147416832886,0.6621134782789262,-0.0018917302903635098
16,1.01,0.98,0.8,300,-1883.8036568063508,52492,2308,37,0.5931257384525918,0.38539147416832886,0.6621134782789262,-0.0018917302903635098
17,1.01,0.98,0.8,500,-1883.8036568063508,52492,2308,37,0.5931257384525918,0.38539147416832886,0.6621134782789262,-0.0018917302903635098
18,1.01,0.97,0.6,100,-4470.6183009886045,52492,1524,2,0.5944477022687006,0.38560044675643923,0.6935756829211053,-0.00563835617927761
19,1.01,0.97,0.6,300,-4470.6183009886045,52492,1524,2,0.5944477022687006,0.38560044675643923,0.6935756829211053,-0.00563835617927761
20,1.01,0.97,0.6,500,-4470.6183009886045,52492,1524,2,0.5944477022687006,0.38560044675643923,0.6935756829211053,-0.00563835617927761
21,1.01,0.97,0.7,100,-4470.6183009886045,52492,1994,2,0.5944477022687006,0.38560044675643923,0.6935756829211053,-0.00563835617927761
22,1.01,0.97,0.7,300,-4470.6183009886045,52492,1994,2,0.5944477022687006,0.38560044675643923,0.6935756829211053,-0.00563835617927761
23,1.01,0.97,0.7,500,-4470.6183009886045,52492,1994,2,0.5944477022687006,0.38560044675643923,0.6935756829211053,-0.00563835617927761
24,1.01,0.97,0.8,100,-4472.886681922443,52492,2481,3,0.5879932893009294,0.38093934715345407,0.6928179939264512,-0.005648506457004608
25,1.01,0.97,0.8,300,-4472.886681922443,52492,2481,3,0.5879932893009294,0.38093934715345407,0.6928179939264512,-0.005648506457004608
26,1.01,0.97,0.8,500,-4472.886681922443,52492,2481,3,0.5879932893009294,0.38093934715345407,0.6928179939264512,-0.005648506457004608
27,1.02,0.99,0.6,100,16478.24159703953,52492,379,125,0.5715529317147848,0.39057769698589473,0.6415336676200812,0.010899082542447515
28,1.02,0.99,0.6,300,13383.718734442373,52492,197,110,0.5741794067274887,0.3913631742611315,0.68626019460157,0.008922553206132767
29,1.02,0.99,0.6,500,13383.718734442373,52492,197,110,0.5741794067274887,0.3913631742611315,0.68626019460157,0.008922553206132767
30,1.02,0.99,0.7,100,25009.367397845403,52492,564,169,0.5789289742516022,0.39350944435400714,0.6608722333346647,0.01354093259764517
31,1.02,0.99,0.7,300,19966.222266039582,52492,226,138,0.5835478838079724,0.39542459437600375,0.6689897284486548,0.011749266842602165
32,1.02,0.99,0.7,500,19966.222266039582,52492,226,138,0.5835478838079724,0.39542459437600375,0.6689897284486548,0.011749266842602165
33,1.02,0.99,0.8,100,24042.449772383567,52492,675,193,0.5822539148468554,0.3940891008446571,0.666295202292195,0.013136010429415203
34,1.02,0.99,0.8,300,18153.96276700493,52492,273,158,0.5851965828187754,0.3946482012990546,0.6693444620556633,0.011089241002286872
35,1.02,0.99,0.8,500,18153.96276700493,52492,273,158,0.5851965828187754,0.3946482012990546,0.6693444620556633,0.011089241002286872
36,1.02,0.98,0.6,100,-1296.0625894555287,52492,845,23,0.5905308391820732,0.3852304064524245,0.6794379424828797,-0.0011253722683859184
37,1.02,0.98,0.6,300,-1296.0625894555287,52492,845,23,0.5905308391820732,0.3852304064524245,0.6794379424828797,-0.0011253722683859184
38,1.02,0.98,0.6,500,-1296.0625894555287,52492,845,23,0.5905308391820732,0.3852304064524245,0.6794379424828797,-0.0011253722683859184
39,1.02,0.98,0.7,100,89.40938833687505,52492,1128,29,0.596650453132951,0.3896595033866207,0.6686819942083635,0.0003912987323880541
40,1.02,0.98,0.7,300,89.40938833687505,52492,1128,29,0.596650453132951,0.3896595033866207,0.6686819942083635,0.0003912987323880541
41,1.02,0.98,0.7,500,89.40938833687505,52492,1128,29,0.596650453132951,0.3896595033866207,0.6686819942083635,0.0003912987323880541
42,1.02,0.98,0.8,100,781.9466809369314,52492,1379,36,0.5964334901009206,0.3896226666513426,0.6611697841181684,0.0010938970862427082
43,1.02,0.98,0.8,300,781.9466809369314,52492,1379,36,0.5964334901009206,0.3896226666513426,0.6611697841181684,0.0010938970862427082
44,1.02,0.98,0.8,500,781.9466809369314,52492,1379,36,0.5964334901009206,0.3896226666513426,0.6611697841181684,0.0010938970862427082
45,1.02,0.97,0.6,100,-4494.170352495696,52492,858,2,0.5881270383471491,0.3808806831350695,0.6928477586685656,-0.0056928279087258135
46,1.02,0.97,0.6,300,-4494.170352495696,52492,858,2,0.5881270383471491,0.3808806831350695,0.6928477586685656,-0.0056928279087258135
47,1.02,0.97,0.6,500,-4494.170352495696,52492,858,2,0.5881270383471491,0.3808806831350695,0.6928477586685656,-0.0056928279087258135
48,1.02,0.97,0.7,100,-4494.170352495696,52492,1150,2,0.5881270383471491,0.3808806831350695,0.6928477586685656,-0.0056928279087258135
