,Future Buy Increase,Future Sell Decrease,Quantiles,Profit/Loss,Number of Transactions,Number of Buy Signals,Number of Sell Signals,Sortino Ratio,Sharpe Ratio,Max Drawdown,Calmar Ratio
0,1.01,0.99,0.8,65890.70746920966,52492,13870,7850,0.29952837396341003,0.29317786777033533,0.6928029757679949,0.02047561441964337
1,1.01,0.99,0.85,66002.42374190969,52492,15022,8253,0.30139005998912166,0.29006008710045195,0.6935492431307679,0.020468532496662938
2,1.01,0.99,0.9,65938.84337411393,52492,15879,8519,0.303556892228145,0.28865757952533494,0.6929819252362256,0.020476776572171108
3,1.01,0.98,0.8,65899.71259425362,52492,13927,6645,0.33373756770540447,0.29920168626931903,0.6957523116641154,0.020390019132803725
4,1.01,0.98,0.85,65912.71736061515,52492,15112,6931,0.3336826265900925,0.29523215838116246,0.7028304182812147,0.020186392355755173
5,1.01,0.98,0.9,66007.15671319106,52492,15969,7110,0.3343254905235284,0.29405834268153813,0.7025036278550064,0.020208257439315057
6,1.01,0.97,0.8,65935.80155342925,52492,13873,5548,0.36511009224864693,0.3042086951132559,0.6850198915639599,0.020714367384890443
7,1.01,0.97,0.85,65981.6521046172,52492,15069,5754,0.36535857026398094,0.3003271676172337,0.6856240938206142,0.020702318713543846
8,1.01,0.97,0.9,65966.39572613871,52492,15951,5883,0.36503863453397367,0.2990680120222778,0.6853434960121904,0.020708729451231957
9,1.02,0.99,0.8,66018.84198526097,52492,10409,6614,0.2550566513372439,0.30439204947328147,0.6854350490073267,0.020713060671952353
10,1.02,0.99,0.85,65986.51644286023,52492,11315,6991,0.25761946531030655,0.3015660879540199,0.6790087968515588,0.02090467726148483
11,1.02,0.99,0.9,65928.31254577269,52492,11951,7260,0.2617857398638367,0.30109804320369216,0.6797817764893356,0.0208729609830039
12,1.02,0.98,0.8,66000.86157148654,52492,10317,5904,0.2918069255130154,0.3081447447702143,0.6898545823583907,0.0205779459905825
13,1.02,0.98,0.85,65939.64480405209,52492,11183,6183,0.29320174155522893,0.30326926856806113,0.6876068085899247,0.020636954526684383
14,1.02,0.98,0.9,65932.38892772309,52492,11903,6388,0.2966212319574757,0.30204447714223887,0.688283722994709,0.020615679902414186
15,1.02,0.97,0.8,66007.16015891376,52492,10167,5094,0.3300954792689527,0.3110794554689131,0.6799845462432926,0.02087749576329181
16,1.02,0.97,0.85,65971.8970490372,52492,11023,5302,0.3311534322995953,0.306563924834697,0.6796894182379651,0.020881748483493806
17,1.02,0.97,0.9,65937.07425915946,52492,11764,5460,0.3332661620455098,0.3056103782194508,0.678995758233614,0.020898321772770775
18,1.03,0.99,0.8,66009.19226528931,52492,7658,5308,0.2170891978271362,0.32375587486252017,0.7198157692459424,0.01972249503557618
19,1.03,0.99,0.85,65983.31796832303,52492,8277,5645,0.22113905071642762,0.32180360236811595,0.730351580859124,0.01943469887603988
20,1.03,0.99,0.9,65947.45778838043,52492,8828,5896,0.22593620797952987,0.32191541709442484,0.7305300474329113,0.019425396202129932
21,1.03,0.98,0.8,65946.70745444833,52492,7545,4966,0.24660627858339149,0.3244465113318587,0.729157929759121,0.019461855093666786
22,1.03,0.98,0.85,65991.93493680023,52492,8207,5246,0.24994620095695036,0.3200819907052879,0.7204525975190894,0.019702840167485587
23,1.03,0.98,0.9,65997.3323908951,52492,8719,5453,0.2541572669507685,0.31815191808376325,0.7174661474372895,0.019785550944955436
24,1.03,0.97,0.8,65984.29342754703,52492,7512,4460,0.282943582876681,0.3227896218888254,0.6970387815549509,0.020363649647010346
25,1.03,0.97,0.85,65929.8204547762,52492,8124,4682,0.28819361846748837,0.31873472689296595,0.6976061333136834,0.020339841931157218
26,1.03,0.97,0.9,65987.1793669891,52492,8578,4845,0.292593116476231,0.3176446191296507,0.6968922452988754,0.02036831568526675
