,Future Buy Increase,Future Sell Decrease,Quantiles,Profit/Loss,Number of Transactions,Number of Buy Signals,Number of Sell Signals,Sortino Ratio,Sharpe Ratio,Max Drawdown,Calmar Ratio
0,1.01,0.99,0.8,65890.70746920966,52492,13870,7850,0.2995283739634099,0.29317786777035193,0.6928029757679949,0.02047561441964337
1,1.01,0.99,0.85,66002.42374190969,52492,15022,8253,0.30139005998912116,0.29006008710043046,0.6935492431307679,0.020468532496662938
2,1.01,0.99,0.9,65938.84337411393,52492,15879,8519,0.3035568922281445,0.2886575795253494,0.6929819252362256,0.020476776572171108
3,1.01,0.98,0.8,65899.71259425362,52492,13927,6645,0.3337375677054057,0.29920168626933263,0.6957523116641154,0.020390019132803725
4,1.01,0.98,0.85,65912.71736061515,52492,15112,6931,0.33368262659009323,0.29523215838117045,0.7028304182812147,0.020186392355755173
5,1.01,0.98,0.9,66007.15671319106,52492,15969,7110,0.3343254905235286,0.29405834268153375,0.7025036278550064,0.020208257439315057
6,1.01,0.97,0.8,65935.80155342925,52492,13873,5548,0.3651100922486466,0.30420869511324594,0.6850198915639599,0.020714367384890443
7,1.01,0.97,0.85,65981.6521046172,52492,15069,5754,0.3653585702639813,0.30032716761721645,0.6856240938206142,0.020702318713543846
8,1.01,0.97,0.9,65966.39572613871,52492,15951,5883,0.36503863453397356,0.299068012022264,0.6853434960121904,0.020708729451231957
9,1.02,0.99,0.8,66018.84198526097,52492,10409,6614,0.2550566513372438,0.30439204947324583,0.6854350490073267,0.020713060671952353
10,1.02,0.99,0.85,65986.51644286023,52492,11315,6991,0.2576194653103066,0.3015660879539917,0.6790087968515588,0.02090467726148483
11,1.02,0.99,0.9,65928.31254577269,52492,11951,7260,0.26178573986383663,0.30109804320365796,0.6797817764893356,0.0208729609830039
12,1.02,0.98,0.8,66000.86157148654,52492,10317,5904,0.2918069255130152,0.30814474477024695,0.6898545823583907,0.0205779459905825
13,1.02,0.98,0.85,65939.64480405209,52492,11183,6183,0.29320174155522927,0.30326926856807923,0.6876068085899247,0.020636954526684383
14,1.02,0.98,0.9,65932.38892772309,52492,11903,6388,0.2966212319574759,0.30204447714224947,0.688283722994709,0.020615679902414186
15,1.02,0.97,0.8,66007.16015891376,52492,10167,5094,0.33009547926895283,0.31107945546888516,0.6799845462432926,0.02087749576329181
16,1.02,0.97,0.85,65971.8970490372,52492,11023,5302,0.33115343229959493,0.3065639248347038,0.6796894182379651,0.020881748483493806
17,1.02,0.97,0.9,65937.07425915946,52492,11764,5460,0.3332661620455101,0.30561037821942305,0.678995758233614,0.020898321772770775
18,1.03,0.99,0.8,66009.19226528931,52492,7658,5308,0.21708919782713615,0.3237558748625755,0.7198157692459424,0.01972249503557618
19,1.03,0.99,0.85,65983.31796832303,52492,8277,5645,0.2211390507164276,0.32180360236809924,0.730351580859124,0.01943469887603988
20,1.03,0.99,0.9,65947.45778838043,52492,8828,5896,0.22593620797953,0.32191541709438776,0.7305300474329113,0.019425396202129932
21,1.03,0.98,0.8,65946.70745444833,52492,7545,4966,0.24660627858339207,0.32444651133184804,0.729157929759121,0.019461855093666786
22,1.03,0.98,0.85,65991.93493680023,52492,8207,5246,0.24994620095695003,0.32008199070526105,0.7204525975190894,0.019702840167485587
23,1.03,0.98,0.9,65997.3323908951,52492,8719,5453,0.2541572669507685,0.31815191808373416,0.7174661474372895,0.019785550944955436
24,1.03,0.97,0.8,65984.29342754703,52492,7512,4460,0.2829435828766812,0.3227896218888363,0.6970387815549509,0.020363649647010346
25,1.03,0.97,0.85,65929.8204547762,52492,8124,4682,0.28819361846748803,0.3187347268929321,0.6976061333136834,0.020339841931157218
26,1.03,0.97,0.9,65987.1793669891,52492,8578,4845,0.29259311647623104,0.31764461912965825,0.6968922452988754,0.02036831568526675
