,Future Buy Increase,Future Sell Decrease,Bid Ask Spread Threshold,Order Imbalance Threshold,Volatility Threshold,Proximity Threshold,Profit/Loss,Number of Transactions,Sortino Ratio,Sharpe Ratio,Max Drawdown,Calmar Ratio
0,1.03,0.97,39.88200000000001,0.08,0.04,0.01,47129.053135181675,63727,0.692408999298205,0.45277717702968145,-0.999984616517136,0.006561422736717129
1,1.03,0.97,39.88200000000001,0.08,0.04,0.02,47129.053135181675,63727,0.692408999298205,0.45277717702968145,-0.999984616517136,0.006561422736717129
2,1.03,0.97,39.88200000000001,0.08,0.04,0.03,47129.053135181675,63727,0.692408999298205,0.45277717702968145,-0.999984616517136,0.006561422736717129
3,1.03,0.97,39.88200000000001,0.08,0.05,0.01,47129.053135181675,63727,0.692408999298205,0.45277717702968145,-0.999984616517136,0.006561422736717129
4,1.03,0.97,39.88200000000001,0.08,0.05,0.02,47129.053135181675,63727,0.692408999298205,0.45277717702968145,-0.999984616517136,0.006561422736717129
5,1.03,0.97,39.88200000000001,0.08,0.05,0.03,47129.053135181675,63727,0.692408999298205,0.45277717702968145,-0.999984616517136,0.006561422736717129
6,1.03,0.97,39.88200000000001,0.08,0.06,0.01,47129.053135181675,63727,0.692408999298205,0.45277717702968145,-0.999984616517136,0.006561422736717129
7,1.03,0.97,39.88200000000001,0.08,0.06,0.02,47129.053135181675,63727,0.692408999298205,0.45277717702968145,-0.999984616517136,0.006561422736717129
8,1.03,0.97,39.88200000000001,0.08,0.06,0.03,47129.053135181675,63727,0.692408999298205,0.45277717702968145,-0.999984616517136,0.006561422736717129
9,1.03,0.97,39.88200000000001,0.1,0.04,0.01,51631.686209435386,63727,0.6924233847956973,0.45310115450647476,-0.999984616517136,0.006935669419318075
10,1.03,0.97,39.88200000000001,0.1,0.04,0.02,51631.686209435386,63727,0.6924233847956973,0.45310115450647476,-0.999984616517136,0.006935669419318075
11,1.03,0.97,39.88200000000001,0.1,0.04,0.03,51631.686209435386,63727,0.6924233847956973,0.45310115450647476,-0.999984616517136,0.006935669419318075
12,1.03,0.97,39.88200000000001,0.1,0.05,0.01,51631.686209435386,63727,0.6924233847956973,0.45310115450647476,-0.999984616517136,0.006935669419318075
13,1.03,0.97,39.88200000000001,0.1,0.05,0.02,51631.686209435386,63727,0.6924233847956973,0.45310115450647476,-0.999984616517136,0.006935669419318075
14,1.03,0.97,39.88200000000001,0.1,0.05,0.03,51631.686209435386,63727,0.6924233847956973,0.45310115450647476,-0.999984616517136,0.006935669419318075
15,1.03,0.97,39.88200000000001,0.1,0.06,0.01,51631.686209435386,63727,0.6924233847956973,0.45310115450647476,-0.999984616517136,0.006935669419318075
16,1.03,0.97,39.88200000000001,0.1,0.06,0.02,51631.686209435386,63727,0.6924233847956973,0.45310115450647476,-0.999984616517136,0.006935669419318075
17,1.03,0.97,39.88200000000001,0.1,0.06,0.03,51631.686209435386,63727,0.6924233847956973,0.45310115450647476,-0.999984616517136,0.006935669419318075
18,1.03,0.97,39.88200000000001,0.12,0.04,0.01,51692.22715874683,63727,0.692170243245534,0.4534379712569604,-0.999984616517136,0.006940127379434941
19,1.03,0.97,39.88200000000001,0.12,0.04,0.02,51692.22715874683,63727,0.692170243245534,0.4534379712569604,-0.999984616517136,0.006940127379434941
20,1.03,0.97,39.88200000000001,0.12,0.04,0.03,51692.22715874683,63727,0.692170243245534,0.4534379712569604,-0.999984616517136,0.006940127379434941
21,1.03,0.97,39.88200000000001,0.12,0.05,0.01,51692.22715874683,63727,0.692170243245534,0.4534379712569604,-0.999984616517136,0.006940127379434941
22,1.03,0.97,39.88200000000001,0.12,0.05,0.02,51692.22715874683,63727,0.692170243245534,0.4534379712569604,-0.999984616517136,0.006940127379434941
23,1.03,0.97,39.88200000000001,0.12,0.05,0.03,51692.22715874683,63727,0.692170243245534,0.4534379712569604,-0.999984616517136,0.006940127379434941
24,1.03,0.97,39.88200000000001,0.12,0.06,0.01,51692.22715874683,63727,0.692170243245534,0.4534379712569604,-0.999984616517136,0.006940127379434941
25,1.03,0.97,39.88200000000001,0.12,0.06,0.02,51692.22715874683,63727,0.692170243245534,0.4534379712569604,-0.999984616517136,0.006940127379434941
26,1.03,0.97,39.88200000000001,0.12,0.06,0.03,51692.22715874683,63727,0.692170243245534,0.4534379712569604,-0.999984616517136,0.006940127379434941
27,1.03,0.97,42.82,0.08,0.04,0.01,47183.56764349848,63727,0.6897914157247469,0.45250127299782533,-0.999984616517136,0.006565623826184295
28,1.03,0.97,42.82,0.08,0.04,0.02,47183.56764349848,63727,0.6897914157247469,0.45250127299782533,-0.999984616517136,0.006565623826184295
29,1.03,0.97,42.82,0.08,0.04,0.03,47183.56764349848,63727,0.6897914157247469,0.45250127299782533,-0.999984616517136,0.006565623826184295
30,1.03,0.97,42.82,0.08,0.05,0.01,47183.56764349848,63727,0.6897914157247469,0.45250127299782533,-0.999984616517136,0.006565623826184295
31,1.03,0.97,42.82,0.08,0.05,0.02,47183.56764349848,63727,0.6897914157247469,0.45250127299782533,-0.999984616517136,0.006565623826184295
32,1.03,0.97,42.82,0.08,0.05,0.03,47183.56764349848,63727,0.6897914157247469,0.45250127299782533,-0.999984616517136,0.006565623826184295
33,1.03,0.97,42.82,0.08,0.06,0.01,47183.56764349848,63727,0.6897914157247469,0.45250127299782533,-0.999984616517136,0.006565623826184295
34,1.03,0.97,42.82,0.08,0.06,0.02,47183.56764349848,63727,0.6897914157247469,0.45250127299782533,-0.999984616517136,0.006565623826184295
35,1.03,0.97,42.82,0.08,0.06,0.03,47183.56764349848,63727,0.6897914157247469,0.45250127299782533,-0.999984616517136,0.006565623826184295
36,1.03,0.97,42.82,0.1,0.04,0.01,51582.6259062187,63727,0.6891734422671231,0.4528924544730099,-0.999984616517136,0.0069314367992815385
37,1.03,0.97,42.82,0.1,0.04,0.02,51582.6259062187,63727,0.6891734422671231,0.4528924544730099,-0.999984616517136,0.0069314367992815385
38,1.03,0.97,42.82,0.1,0.04,0.03,51582.6259062187,63727,0.6891734422671231,0.4528924544730099,-0.999984616517136,0.0069314367992815385
39,1.03,0.97,42.82,0.1,0.05,0.01,51582.6259062187,63727,0.6891734422671231,0.4528924544730099,-0.999984616517136,0.0069314367992815385
40,1.03,0.97,42.82,0.1,0.05,0.02,51582.6259062187,63727,0.6891734422671231,0.4528924544730099,-0.999984616517136,0.0069314367992815385
41,1.03,0.97,42.82,0.1,0.05,0.03,51582.6259062187,63727,0.6891734422671231,0.4528924544730099,-0.999984616517136,0.0069314367992815385
42,1.03,0.97,42.82,0.1,0.06,0.01,51582.6259062187,63727,0.6891734422671231,0.4528924544730099,-0.999984616517136,0.0069314367992815385
43,1.03,0.97,42.82,0.1,0.06,0.02,51582.6259062187,63727,0.6891734422671231,0.4528924544730099,-0.999984616517136,0.0069314367992815385
44,1.03,0.97,42.82,0.1,0.06,0.03,51582.6259062187,63727,0.6891734422671231,0.4528924544730099,-0.999984616517136,0.0069314367992815385
45,1.03,0.97,42.82,0.12,0.04,0.01,51606.47350385571,63727,0.6885066299209223,0.45284946462412096,-0.999984616517136,0.006933494608584315
46,1.03,0.97,42.82,0.12,0.04,0.02,51606.47350385571,63727,0.6885066299209223,0.45284946462412096,-0.999984616517136,0.006933494608584315
47,1.03,0.97,42.82,0.12,0.04,0.03,51606.47350385571,63727,0.6885066299209223,0.45284946462412096,-0.999984616517136,0.006933494608584315
48,1.03,0.97,42.82,0.12,0.05,0.01,51606.47350385571,63727,0.6885066299209223,0.45284946462412096,-0.999984616517136,0.006933494608584315
49,1.03,0.97,42.82,0.12,0.05,0.02,51606.47350385571,63727,0.6885066299209223,0.45284946462412096,-0.999984616517136,0.006933494608584315
50,1.03,0.97,42.82,0.12,0.05,0.03,51606.47350385571,63727,0.6885066299209223,0.45284946462412096,-0.999984616517136,0.006933494608584315
51,1.03,0.97,42.82,0.12,0.06,0.01,51606.47350385571,63727,0.6885066299209223,0.45284946462412096,-0.999984616517136,0.006933494608584315
52,1.03,0.97,42.82,0.12,0.06,0.02,51606.47350385571,63727,0.6885066299209223,0.45284946462412096,-0.999984616517136,0.006933494608584315
53,1.03,0.97,42.82,0.12,0.06,0.03,51606.47350385571,63727,0.6885066299209223,0.45284946462412096,-0.999984616517136,0.006933494608584315
54,1.03,0.97,45.66,0.08,0.04,0.01,45281.76468430285,63727,0.690276700674611,0.45436776500072334,-0.999984616517136,0.00639563709605799
55,1.03,0.97,45.66,0.08,0.04,0.02,45281.76468430285,63727,0.690276700674611,0.45436776500072334,-0.999984616517136,0.00639563709605799
56,1.03,0.97,45.66,0.08,0.04,0.03,45281.76468430285,63727,0.690276700674611,0.45436776500072334,-0.999984616517136,0.00639563709605799
57,1.03,0.97,45.66,0.08,0.05,0.01,45281.76468430285,63727,0.690276700674611,0.45436776500072334,-0.999984616517136,0.00639563709605799
58,1.03,0.97,45.66,0.08,0.05,0.02,45281.76468430285,63727,0.690276700674611,0.45436776500072334,-0.999984616517136,0.00639563709605799
59,1.03,0.97,45.66,0.08,0.05,0.03,45281.76468430285,63727,0.690276700674611,0.45436776500072334,-0.999984616517136,0.00639563709605799
60,1.03,0.97,45.66,0.08,0.06,0.01,45281.76468430285,63727,0.690276700674611,0.45436776500072334,-0.999984616517136,0.00639563709605799
61,1.03,0.97,45.66,0.08,0.06,0.02,45281.76468430285,63727,0.690276700674611,0.45436776500072334,-0.999984616517136,0.00639563709605799
62,1.03,0.97,45.66,0.08,0.06,0.03,45281.76468430285,63727,0.690276700674611,0.45436776500072334,-0.999984616517136,0.00639563709605799
63,1.03,0.97,45.66,0.1,0.04,0.01,50650.35193285148,63727,0.6857494409664829,0.45234354839294133,-0.999984616517136,0.006855820307407545
64,1.03,0.97,45.66,0.1,0.04,0.02,50650.35193285148,63727,0.6857494409664829,0.45234354839294133,-0.999984616517136,0.006855820307407545
65,1.03,0.97,45.66,0.1,0.04,0.03,50650.35193285148,63727,0.6857494409664829,0.45234354839294133,-0.999984616517136,0.006855820307407545
66,1.03,0.97,45.66,0.1,0.05,0.01,50650.35193285148,63727,0.6857494409664829,0.45234354839294133,-0.999984616517136,0.006855820307407545
67,1.03,0.97,45.66,0.1,0.05,0.02,50650.35193285148,63727,0.6857494409664829,0.45234354839294133,-0.999984616517136,0.006855820307407545
68,1.03,0.97,45.66,0.1,0.05,0.03,50650.35193285148,63727,0.6857494409664829,0.45234354839294133,-0.999984616517136,0.006855820307407545
69,1.03,0.97,45.66,0.1,0.06,0.01,50650.35193285148,63727,0.6857494409664829,0.45234354839294133,-0.999984616517136,0.006855820307407545
70,1.03,0.97,45.66,0.1,0.06,0.02,50650.35193285148,63727,0.6857494409664829,0.45234354839294133,-0.999984616517136,0.006855820307407545
71,1.03,0.97,45.66,0.1,0.06,0.03,50650.35193285148,63727,0.6857494409664829,0.45234354839294133,-0.999984616517136,0.006855820307407545
72,1.03,0.97,45.66,0.12,0.04,0.01,52089.48077987305,63727,0.6855896806974943,0.45239030705221206,-0.999984616517136,0.006971990650143923
73,1.03,0.97,45.66,0.12,0.04,0.02,52089.48077987305,63727,0.6855896806974943,0.45239030705221206,-0.999984616517136,0.006971990650143923
74,1.03,0.97,45.66,0.12,0.04,0.03,52089.48077987305,63727,0.6855896806974943,0.45239030705221206,-0.999984616517136,0.006971990650143923
75,1.03,0.97,45.66,0.12,0.05,0.01,52089.48077987305,63727,0.6855896806974943,0.45239030705221206,-0.999984616517136,0.006971990650143923
76,1.03,0.97,45.66,0.12,0.05,0.02,52089.48077987305,63727,0.6855896806974943,0.45239030705221206,-0.999984616517136,0.006971990650143923
77,1.03,0.97,45.66,0.12,0.05,0.03,52089.48077987305,63727,0.6855896806974943,0.45239030705221206,-0.999984616517136,0.006971990650143923
78,1.03,0.97,45.66,0.12,0.06,0.01,52089.48077987305,63727,0.6855896806974943,0.45239030705221206,-0.999984616517136,0.006971990650143923
79,1.03,0.97,45.66,0.12,0.06,0.02,52089.48077987305,63727,0.6855896806974943,0.45239030705221206,-0.999984616517136,0.006971990650143923
80,1.03,0.97,45.66,0.12,0.06,0.03,52089.48077987305,63727,0.6855896806974943,0.45239030705221206,-0.999984616517136,0.006971990650143923
81,1.03,0.95,39.88200000000001,0.08,0.04,0.01,2486.4370127119982,63727,0.7049346247092304,0.4530349651173394,-1.0895090786631694,0.0002506007321611775
82,1.03,0.95,39.88200000000001,0.08,0.04,0.02,2486.4370127119982,63727,0.7049346247092304,0.4530349651173394,-1.0895090786631694,0.0002506007321611775
83,1.03,0.95,39.88200000000001,0.08,0.04,0.03,2486.4370127119982,63727,0.7049346247092304,0.4530349651173394,-1.0895090786631694,0.0002506007321611775
84,1.03,0.95,39.88200000000001,0.08,0.05,0.01,2486.4370127119982,63727,0.7049346247092304,0.4530349651173394,-1.0895090786631694,0.0002506007321611775
85,1.03,0.95,39.88200000000001,0.08,0.05,0.02,2486.4370127119982,63727,0.7049346247092304,0.4530349651173394,-1.0895090786631694,0.0002506007321611775
86,1.03,0.95,39.88200000000001,0.08,0.05,0.03,2486.4370127119982,63727,0.7049346247092304,0.4530349651173394,-1.0895090786631694,0.0002506007321611775
87,1.03,0.95,39.88200000000001,0.08,0.06,0.01,2486.4370127119982,63727,0.7049346247092304,0.4530349651173394,-1.0895090786631694,0.0002506007321611775
88,1.03,0.95,39.88200000000001,0.08,0.06,0.02,2486.4370127119982,63727,0.7049346247092304,0.4530349651173394,-1.0895090786631694,0.0002506007321611775
89,1.03,0.95,39.88200000000001,0.08,0.06,0.03,2486.4370127119982,63727,0.7049346247092304,0.4530349651173394,-1.0895090786631694,0.0002506007321611775
90,1.03,0.95,39.88200000000001,0.1,0.04,0.01,12362.60776091375,63727,0.7050413359115428,0.4531846531858897,-0.999984616517136,0.0023626933062185517
91,1.03,0.95,39.88200000000001,0.1,0.04,0.02,12362.60776091375,63727,0.7050413359115428,0.4531846531858897,-0.999984616517136,0.0023626933062185517
92,1.03,0.95,39.88200000000001,0.1,0.04,0.03,12362.60776091375,63727,0.7050413359115428,0.4531846531858897,-0.999984616517136,0.0023626933062185517
