,Future Buy Increase,Future Sell Decrease,Bid Ask Spread Threshold,Order Imbalance Threshold,Volatility Threshold,Proximity Threshold,Profit/Loss,Number of Transactions,Sortino Ratio,Sharpe Ratio,Max Drawdown,Calmar Ratio
315,1.05,0.97,45.66,0.12,0.04,0.01,52170.20858,63727,0.654499121,0.447965375,-0.926928402,0.00752895
316,1.05,0.97,45.66,0.12,0.04,0.02,52170.20858,63727,0.654499121,0.447965375,-0.926928402,0.00752895
317,1.05,0.97,45.66,0.12,0.04,0.03,52170.20858,63727,0.654499121,0.447965375,-0.926928402,0.00752895
318,1.05,0.97,45.66,0.12,0.05,0.01,52170.20858,63727,0.654499121,0.447965375,-0.926928402,0.00752895
319,1.05,0.97,45.66,0.12,0.05,0.02,52170.20858,63727,0.654499121,0.447965375,-0.926928402,0.00752895
320,1.05,0.97,45.66,0.12,0.05,0.03,52170.20858,63727,0.654499121,0.447965375,-0.926928402,0.00752895
321,1.05,0.97,45.66,0.12,0.06,0.01,52170.20858,63727,0.654499121,0.447965375,-0.926928402,0.00752895
322,1.05,0.97,45.66,0.12,0.06,0.02,52170.20858,63727,0.654499121,0.447965375,-0.926928402,0.00752895
323,1.05,0.97,45.66,0.12,0.06,0.03,52170.20858,63727,0.654499121,0.447965375,-0.926928402,0.00752895
72,1.03,0.97,45.66,0.12,0.04,0.01,52089.48078,63727,0.685589681,0.452390307,-0.999984617,0.006971991
73,1.03,0.97,45.66,0.12,0.04,0.02,52089.48078,63727,0.685589681,0.452390307,-0.999984617,0.006971991
74,1.03,0.97,45.66,0.12,0.04,0.03,52089.48078,63727,0.685589681,0.452390307,-0.999984617,0.006971991
75,1.03,0.97,45.66,0.12,0.05,0.01,52089.48078,63727,0.685589681,0.452390307,-0.999984617,0.006971991
76,1.03,0.97,45.66,0.12,0.05,0.02,52089.48078,63727,0.685589681,0.452390307,-0.999984617,0.006971991
77,1.03,0.97,45.66,0.12,0.05,0.03,52089.48078,63727,0.685589681,0.452390307,-0.999984617,0.006971991
78,1.03,0.97,45.66,0.12,0.06,0.01,52089.48078,63727,0.685589681,0.452390307,-0.999984617,0.006971991
79,1.03,0.97,45.66,0.12,0.06,0.02,52089.48078,63727,0.685589681,0.452390307,-0.999984617,0.006971991
80,1.03,0.97,45.66,0.12,0.06,0.03,52089.48078,63727,0.685589681,0.452390307,-0.999984617,0.006971991
396,1.05,0.95,45.66,0.12,0.04,0.01,52088.95152,63727,0.699062276,0.453712091,-0.926928402,0.007521442
397,1.05,0.95,45.66,0.12,0.04,0.02,52088.95152,63727,0.699062276,0.453712091,-0.926928402,0.007521442
398,1.05,0.95,45.66,0.12,0.04,0.03,52088.95152,63727,0.699062276,0.453712091,-0.926928402,0.007521442
399,1.05,0.95,45.66,0.12,0.05,0.01,52088.95152,63727,0.699062276,0.453712091,-0.926928402,0.007521442
400,1.05,0.95,45.66,0.12,0.05,0.02,52088.95152,63727,0.699062276,0.453712091,-0.926928402,0.007521442
401,1.05,0.95,45.66,0.12,0.05,0.03,52088.95152,63727,0.699062276,0.453712091,-0.926928402,0.007521442
402,1.05,0.95,45.66,0.12,0.06,0.01,52088.95152,63727,0.699062276,0.453712091,-0.926928402,0.007521442
403,1.05,0.95,45.66,0.12,0.06,0.02,52088.95152,63727,0.699062276,0.453712091,-0.926928402,0.007521442
404,1.05,0.95,45.66,0.12,0.06,0.03,52088.95152,63727,0.699062276,0.453712091,-0.926928402,0.007521442
153,1.03,0.95,45.66,0.12,0.04,0.01,52085.6848,63727,0.706047435,0.454768999,-0.999984617,0.006971665
154,1.03,0.95,45.66,0.12,0.04,0.02,52085.6848,63727,0.706047435,0.454768999,-0.999984617,0.006971665
155,1.03,0.95,45.66,0.12,0.04,0.03,52085.6848,63727,0.706047435,0.454768999,-0.999984617,0.006971665
156,1.03,0.95,45.66,0.12,0.05,0.01,52085.6848,63727,0.706047435,0.454768999,-0.999984617,0.006971665
157,1.03,0.95,45.66,0.12,0.05,0.02,52085.6848,63727,0.706047435,0.454768999,-0.999984617,0.006971665
158,1.03,0.95,45.66,0.12,0.05,0.03,52085.6848,63727,0.706047435,0.454768999,-0.999984617,0.006971665
159,1.03,0.95,45.66,0.12,0.06,0.01,52085.6848,63727,0.706047435,0.454768999,-0.999984617,0.006971665
160,1.03,0.95,45.66,0.12,0.06,0.02,52085.6848,63727,0.706047435,0.454768999,-0.999984617,0.006971665
161,1.03,0.95,45.66,0.12,0.06,0.03,52085.6848,63727,0.706047435,0.454768999,-0.999984617,0.006971665
18,1.03,0.97,39.882,0.12,0.04,0.01,51692.22716,63727,0.692170243,0.453437971,-0.999984617,0.006940127
19,1.03,0.97,39.882,0.12,0.04,0.02,51692.22716,63727,0.692170243,0.453437971,-0.999984617,0.006940127
20,1.03,0.97,39.882,0.12,0.04,0.03,51692.22716,63727,0.692170243,0.453437971,-0.999984617,0.006940127
21,1.03,0.97,39.882,0.12,0.05,0.01,51692.22716,63727,0.692170243,0.453437971,-0.999984617,0.006940127
22,1.03,0.97,39.882,0.12,0.05,0.02,51692.22716,63727,0.692170243,0.453437971,-0.999984617,0.006940127
23,1.03,0.97,39.882,0.12,0.05,0.03,51692.22716,63727,0.692170243,0.453437971,-0.999984617,0.006940127
24,1.03,0.97,39.882,0.12,0.06,0.01,51692.22716,63727,0.692170243,0.453437971,-0.999984617,0.006940127
25,1.03,0.97,39.882,0.12,0.06,0.02,51692.22716,63727,0.692170243,0.453437971,-0.999984617,0.006940127
26,1.03,0.97,39.882,0.12,0.06,0.03,51692.22716,63727,0.692170243,0.453437971,-0.999984617,0.006940127
126,1.03,0.95,42.82,0.12,0.04,0.01,51674.48913,63727,0.706855545,0.454945845,-0.999984617,0.006938599
127,1.03,0.95,42.82,0.12,0.04,0.02,51674.48913,63727,0.706855545,0.454945845,-0.999984617,0.006938599
128,1.03,0.95,42.82,0.12,0.04,0.03,51674.48913,63727,0.706855545,0.454945845,-0.999984617,0.006938599
129,1.03,0.95,42.82,0.12,0.05,0.01,51674.48913,63727,0.706855545,0.454945845,-0.999984617,0.006938599
130,1.03,0.95,42.82,0.12,0.05,0.02,51674.48913,63727,0.706855545,0.454945845,-0.999984617,0.006938599
131,1.03,0.95,42.82,0.12,0.05,0.03,51674.48913,63727,0.706855545,0.454945845,-0.999984617,0.006938599
132,1.03,0.95,42.82,0.12,0.06,0.01,51674.48913,63727,0.706855545,0.454945845,-0.999984617,0.006938599
133,1.03,0.95,42.82,0.12,0.06,0.02,51674.48913,63727,0.706855545,0.454945845,-0.999984617,0.006938599
134,1.03,0.95,42.82,0.12,0.06,0.03,51674.48913,63727,0.706855545,0.454945845,-0.999984617,0.006938599
9,1.03,0.97,39.882,0.1,0.04,0.01,51631.68621,63727,0.692423385,0.453101155,-0.999984617,0.006935669
10,1.03,0.97,39.882,0.1,0.04,0.02,51631.68621,63727,0.692423385,0.453101155,-0.999984617,0.006935669
11,1.03,0.97,39.882,0.1,0.04,0.03,51631.68621,63727,0.692423385,0.453101155,-0.999984617,0.006935669
12,1.03,0.97,39.882,0.1,0.05,0.01,51631.68621,63727,0.692423385,0.453101155,-0.999984617,0.006935669
13,1.03,0.97,39.882,0.1,0.05,0.02,51631.68621,63727,0.692423385,0.453101155,-0.999984617,0.006935669
14,1.03,0.97,39.882,0.1,0.05,0.03,51631.68621,63727,0.692423385,0.453101155,-0.999984617,0.006935669
15,1.03,0.97,39.882,0.1,0.06,0.01,51631.68621,63727,0.692423385,0.453101155,-0.999984617,0.006935669
16,1.03,0.97,39.882,0.1,0.06,0.02,51631.68621,63727,0.692423385,0.453101155,-0.999984617,0.006935669
17,1.03,0.97,39.882,0.1,0.06,0.03,51631.68621,63727,0.692423385,0.453101155,-0.999984617,0.006935669
45,1.03,0.97,42.82,0.12,0.04,0.01,51606.4735,63727,0.68850663,0.452849465,-0.999984617,0.006933495
46,1.03,0.97,42.82,0.12,0.04,0.02,51606.4735,63727,0.68850663,0.452849465,-0.999984617,0.006933495
