,Predicted Train Time,Predicted Mid-Price,Buy/Sell,Trade_Action_Percentile,Trade_Action_Tighter
0,14:18:00,292.9975122921759,Hold,Buy,Buy
1,14:18:01,298.5040294192214,Hold,Hold,Hold
2,14:18:02,302.7445129067157,Hold,Hold,Hold
3,14:18:03,306.0100435121494,Hold,Hold,Hold
4,14:18:04,308.52477801505995,Hold,Hold,Hold
5,14:18:05,310.46133607689706,Hold,Hold,Hold
6,14:18:06,311.95264942330635,Hold,Hold,Hold
7,14:18:07,313.1010867157409,Hold,Hold,Hold
8,14:18:08,313.9854804736524,Hold,Hold,Hold
9,14:18:09,314.6665383983516,Hold,Hold,Hold
10,14:18:10,315.1910105496375,Hold,Hold,Hold
11,14:18:11,315.5948984239265,Hold,Hold,Hold
12,14:18:12,315.90592621557903,Hold,Hold,Hold
13,14:18:13,316.1454438969418,Hold,Hold,Hold
14,14:18:14,316.3298927507905,Hold,Hold,Hold
15,14:18:15,316.47193395414774,Hold,Hold,Hold
16,14:18:16,316.58131768318793,Hold,Hold,Hold
17,14:18:17,316.6655523974536,Hold,Hold,Hold
18,14:18:18,316.7304202452558,Hold,Hold,Hold
19,14:18:19,316.7803739693845,Hold,Hold,Hold
20,14:18:20,316.818842558044,Hold,Hold,Hold
21,14:18:21,316.84846662190034,Hold,Hold,Hold
22,14:18:22,316.8712796542976,Hold,Hold,Hold
23,14:18:23,316.88884761694044,Hold,Hold,Hold
24,14:18:24,316.90237643266505,Hold,Hold,Hold
25,14:18:25,316.9127947639554,Hold,Hold,Hold
26,14:18:26,316.920817759396,Hold,Hold,Hold
27,14:18:27,316.92699614382684,Hold,Hold,Hold
28,14:18:28,316.93175402191093,Hold,Hold,Hold
29,14:18:29,316.9354179900755,Hold,Hold,Hold
30,14:18:30,316.9382395551669,Hold,Hold,Hold
31,14:18:31,316.94041239870893,Hold,Hold,Hold
32,14:18:32,316.9420856718412,Hold,Hold,Hold
33,14:18:33,316.9433742335443,Hold,Hold,Hold
34,14:18:34,316.9443665349389,Hold,Hold,Hold
35,14:18:35,316.9451306908621,Hold,Hold,Hold
36,14:18:36,316.9457191554939,Hold,Hold,Hold
37,14:18:37,316.94617232298555,Hold,Hold,Hold
38,14:18:38,316.9465213002468,Hold,Hold,Hold
39,14:18:39,316.9467900422263,Hold,Hold,Hold
40,14:18:40,316.94699699625926,Hold,Hold,Hold
41,14:18:41,316.94715636835224,Hold,Hold,Hold
42,14:18:42,316.9472790983307,Hold,Hold,Hold
43,14:18:43,316.9473736107848,Hold,Hold,Hold
44,14:18:44,316.94744639336074,Hold,Hold,Hold
45,14:18:45,316.9475024420943,Hold,Hold,Hold
46,14:18:46,316.94754560435524,Hold,Hold,Hold
47,14:18:47,316.9475788429434,Hold,Hold,Hold
48,14:18:48,316.9476044394649,Hold,Hold,Hold
49,14:18:49,316.9476241509494,Hold,Hold,Hold
50,14:18:50,316.94763933045806,Hold,Hold,Hold
51,14:18:51,316.9476510199624,Hold,Hold,Hold
52,14:18:52,316.9476600218685,Hold,Hold,Hold
53,14:18:53,316.94766695409686,Hold,Hold,Hold
54,14:18:54,316.9476722924985,Hold,Hold,Hold
55,14:18:55,316.9476764035188,Hold,Hold,Hold
56,14:18:56,316.94767956935186,Hold,Hold,Hold
57,14:18:57,316.9476820073108,Hold,Hold,Hold
58,14:18:58,316.9476838847452,Hold,Hold,Hold
59,14:18:59,316.9476853305283,Hold,Hold,Hold
60,14:19:00,316.94768644390354,Hold,Hold,Hold
61,14:19:01,316.94768730129647,Hold,Hold,Hold
62,14:19:02,316.9476879615615,Hold,Hold,Hold
63,14:19:03,316.9476884700214,Hold,Hold,Hold
64,14:19:04,316.94768886157846,Hold,Hold,Hold
65,14:19:05,316.94768916311045,Hold,Hold,Hold
66,14:19:06,316.9476893953156,Hold,Hold,Hold
67,14:19:07,316.9476895741332,Hold,Hold,Hold
68,14:19:08,316.9476897118378,Hold,Hold,Hold
69,14:19:09,316.94768981788206,Hold,Hold,Hold
70,14:19:10,316.947689899545,Hold,Hold,Hold
71,14:19:11,316.94768996243243,Hold,Hold,Hold
72,14:19:12,316.9476900108611,Hold,Hold,Hold
73,14:19:13,316.9476900481552,Hold,Hold,Hold
74,14:19:14,316.94769007687484,Hold,Hold,Hold
75,14:19:15,316.9476900989914,Hold,Hold,Hold
76,14:19:16,316.947690116023,Hold,Hold,Hold
77,14:19:17,316.9476901291388,Hold,Hold,Hold
78,14:19:18,316.94769013923906,Hold,Hold,Hold
79,14:19:19,316.9476901470171,Hold,Hold,Hold
80,14:19:20,316.9476901530068,Hold,Hold,Hold
81,14:19:21,316.94769015761943,Hold,Hold,Hold
82,14:19:22,316.9476901611716,Hold,Hold,Hold
83,14:19:23,316.947690163907,Hold,Hold,Hold
84,14:19:24,316.9476901660135,Hold,Hold,Hold
85,14:19:25,316.9476901676357,Hold,Hold,Hold
86,14:19:26,316.9476901688849,Hold,Hold,Hold
87,14:19:27,316.9476901698469,Hold,Hold,Hold
88,14:19:28,316.94769017058775,Hold,Hold,Hold
89,14:19:29,316.94769017115823,Hold,Hold,Hold
90,14:19:30,316.9476901715976,Hold,Hold,Hold
91,14:19:31,316.9476901719359,Hold,Hold,Hold
92,14:19:32,316.9476901721964,Hold,Hold,Hold
93,14:19:33,316.9476901723971,Hold,Hold,Hold
94,14:19:34,316.9476901725516,Hold,Hold,Hold
95,14:19:35,316.94769017267055,Hold,Hold,Hold
96,14:19:36,316.9476901727622,Hold,Hold,Hold
97,14:19:37,316.9476901728327,Hold,Hold,Hold
98,14:19:38,316.94769017288706,Hold,Hold,Hold
99,14:19:39,316.9476901729289,Hold,Hold,Hold
100,14:19:40,316.9476901729612,Hold,Hold,Hold
101,14:19:41,316.947690172986,Hold,Hold,Hold
102,14:19:42,316.94769017300507,Hold,Hold,Hold
103,14:19:43,316.9476901730198,Hold,Hold,Hold
104,14:19:44,316.9476901730311,Hold,Hold,Hold
105,14:19:45,316.94769017303986,Hold,Hold,Hold
106,14:19:46,316.94769017304657,Hold,Hold,Hold
107,14:19:47,316.94769017305174,Hold,Hold,Hold
108,14:19:48,316.9476901730557,Hold,Hold,Hold
109,14:19:49,316.9476901730588,Hold,Hold,Hold
110,14:19:50,316.9476901730612,Hold,Hold,Hold
111,14:19:51,316.947690173063,Hold,Hold,Hold
112,14:19:52,316.9476901730644,Hold,Hold,Hold
113,14:19:53,316.94769017306544,Hold,Hold,Hold
114,14:19:54,316.9476901730663,Hold,Hold,Hold
115,14:19:55,316.9476901730669,Hold,Hold,Hold
116,14:19:56,316.94769017306743,Hold,Hold,Hold
117,14:19:57,316.9476901730678,Hold,Hold,Hold
118,14:19:58,316.9476901730681,Hold,Hold,Hold
119,14:19:59,316.94769017306834,Hold,Hold,Hold
120,14:20:00,316.9476901730685,Hold,Hold,Hold
121,14:20:01,316.9476901730686,Hold,Hold,Hold
122,14:20:02,316.94769017306874,Hold,Hold,Hold
123,14:20:03,316.9476901730688,Hold,Hold,Hold
124,14:20:04,316.94769017306885,Hold,Hold,Hold
125,14:20:05,316.9476901730689,Hold,Hold,Hold
126,14:20:06,316.94769017306896,Hold,Hold,Hold
127,14:20:07,316.94769017306896,Hold,Hold,Hold
128,14:20:08,316.947690173069,Hold,Hold,Hold
129,14:20:09,316.947690173069,Hold,Hold,Hold
130,14:20:10,316.947690173069,Hold,Hold,Hold
131,14:20:11,316.947690173069,Hold,Hold,Hold
132,14:20:12,316.9476901730691,Hold,Hold,Hold
133,14:20:13,316.9476901730691,Hold,Hold,Hold
134,14:20:14,316.9476901730691,Hold,Hold,Hold
135,14:20:15,316.9476901730691,Hold,Hold,Hold
136,14:20:16,316.9476901730691,Hold,Hold,Hold
137,14:20:17,316.9476901730691,Hold,Hold,Hold
138,14:20:18,316.9476901730691,Hold,Hold,Hold
139,14:20:19,316.9476901730691,Hold,Hold,Hold
140,14:20:20,316.9476901730691,Hold,Hold,Hold
141,14:20:21,316.9476901730691,Hold,Hold,Hold
142,14:20:22,316.9476901730691,Hold,Hold,Hold
143,14:20:23,316.9476901730691,Hold,Hold,Hold
144,14:20:24,316.9476901730691,Hold,Hold,Hold
145,14:20:25,316.9476901730691,Hold,Hold,Hold
146,14:20:26,316.9476901730691,Hold,Hold,Hold
147,14:20:27,316.9476901730691,Hold,Hold,Hold
148,14:20:28,316.9476901730691,Hold,Hold,Hold
149,14:20:29,316.9476901730691,Hold,Hold,Hold
150,14:20:30,316.9476901730691,Hold,Hold,Hold
151,14:20:31,316.9476901730691,Hold,Hold,Hold
152,14:20:32,316.9476901730691,Hold,Hold,Hold
153,14:20:33,316.9476901730691,Hold,Hold,Hold
154,14:20:34,316.9476901730691,Hold,Hold,Hold
155,14:20:35,316.9476901730691,Hold,Hold,Hold
156,14:20:36,316.9476901730691,Hold,Hold,Hold
157,14:20:37,316.9476901730691,Hold,Hold,Hold
158,14:20:38,316.9476901730691,Hold,Hold,Hold
159,14:20:39,316.9476901730691,Hold,Hold,Hold
160,14:20:40,316.9476901730691,Hold,Hold,Hold
161,14:20:41,316.9476901730691,Hold,Hold,Hold
162,14:20:42,316.9476901730691,Hold,Hold,Hold
163,14:20:43,316.9476901730691,Hold,Hold,Hold
164,14:20:44,316.9476901730691,Hold,Hold,Hold
165,14:20:45,316.9476901730691,Hold,Hold,Hold
166,14:20:46,316.9476901730691,Hold,Hold,Hold
167,14:20:47,316.9476901730691,Hold,Hold,Hold
168,14:20:48,316.9476901730691,Hold,Hold,Hold
169,14:20:49,316.9476901730691,Hold,Hold,Hold
170,14:20:50,316.9476901730691,Hold,Hold,Hold
171,14:20:51,316.9476901730691,Hold,Hold,Hold
172,14:20:52,316.9476901730691,Hold,Hold,Hold
173,14:20:53,316.9476901730691,Hold,Hold,Hold
174,14:20:54,316.9476901730691,Hold,Hold,Hold
175,14:20:55,316.9476901730691,Hold,Hold,Hold
176,14:20:56,316.9476901730691,Hold,Hold,Hold
177,14:20:57,316.9476901730691,Hold,Hold,Hold
178,14:20:58,316.9476901730691,Hold,Hold,Hold
179,14:20:59,316.9476901730691,Hold,Hold,Hold
180,14:21:00,316.9476901730691,Hold,Hold,Hold
181,14:21:01,316.9476901730691,Hold,Hold,Hold
182,14:21:02,316.9476901730691,Hold,Hold,Hold
183,14:21:03,316.9476901730691,Hold,Hold,Hold
184,14:21:04,316.9476901730691,Hold,Hold,Hold
185,14:21:05,316.9476901730691,Hold,Hold,Hold
186,14:21:06,316.9476901730691,Hold,Hold,Hold
187,14:21:07,316.9476901730691,Hold,Hold,Hold
188,14:21:08,316.9476901730691,Hold,Hold,Hold
189,14:21:09,316.9476901730691,Hold,Hold,Hold
190,14:21:10,316.9476901730691,Hold,Hold,Hold
191,14:21:11,316.9476901730691,Hold,Hold,Hold
192,14:21:12,316.9476901730691,Hold,Hold,Hold
193,14:21:13,316.9476901730691,Hold,Hold,Hold
194,14:21:14,316.9476901730691,Hold,Hold,Hold
195,14:21:15,316.9476901730691,Hold,Hold,Hold
196,14:21:16,316.9476901730691,Hold,Hold,Hold
197,14:21:17,316.9476901730691,Hold,Hold,Hold
198,14:21:18,316.9476901730691,Hold,Hold,Hold
199,14:21:19,316.9476901730691,Hold,Hold,Hold
200,14:21:20,316.9476901730691,Hold,Hold,Hold
201,14:21:21,316.9476901730691,Hold,Hold,Hold
202,14:21:22,316.9476901730691,Hold,Hold,Hold
203,14:21:23,316.9476901730691,Hold,Hold,Hold
204,14:21:24,316.9476901730691,Hold,Hold,Hold
205,14:21:25,316.9476901730691,Hold,Hold,Hold
206,14:21:26,316.9476901730691,Hold,Hold,Hold
207,14:21:27,316.9476901730691,Hold,Hold,Hold
208,14:21:28,316.9476901730691,Hold,Hold,Hold
209,14:21:29,316.9476901730691,Hold,Hold,Hold
210,14:21:30,316.9476901730691,Hold,Hold,Hold
211,14:21:31,316.9476901730691,Hold,Hold,Hold
212,14:21:32,316.9476901730691,Hold,Hold,Hold
213,14:21:33,316.9476901730691,Hold,Hold,Hold
214,14:21:34,316.9476901730691,Hold,Hold,Hold
215,14:21:35,316.9476901730691,Hold,Hold,Hold
216,14:21:36,316.9476901730691,Hold,Hold,Hold
217,14:21:37,316.9476901730691,Hold,Hold,Hold
218,14:21:38,316.9476901730691,Hold,Hold,Hold
219,14:21:39,316.9476901730691,Hold,Hold,Hold
220,14:21:40,316.9476901730691,Hold,Hold,Hold
221,14:21:41,316.9476901730691,Hold,Hold,Hold
222,14:21:42,316.9476901730691,Hold,Hold,Hold
223,14:21:43,316.9476901730691,Hold,Hold,Hold
224,14:21:44,316.9476901730691,Hold,Hold,Hold
225,14:21:45,316.9476901730691,Hold,Hold,Hold
226,14:21:46,316.9476901730691,Hold,Hold,Hold
227,14:21:47,316.9476901730691,Hold,Hold,Hold
228,14:21:48,316.9476901730691,Hold,Hold,Hold
229,14:21:49,316.9476901730691,Hold,Hold,Hold
230,14:21:50,316.9476901730691,Hold,Hold,Hold
231,14:21:51,316.9476901730691,Hold,Hold,Hold
232,14:21:52,316.9476901730691,Hold,Hold,Hold
233,14:21:53,316.9476901730691,Hold,Hold,Hold
234,14:21:54,316.9476901730691,Hold,Hold,Hold
235,14:21:55,316.9476901730691,Hold,Hold,Hold
236,14:21:56,316.9476901730691,Hold,Hold,Hold
237,14:21:57,316.9476901730691,Hold,Hold,Hold
238,14:21:58,316.9476901730691,Hold,Hold,Hold
239,14:21:59,316.9476901730691,Hold,Hold,Hold
240,14:22:00,316.9476901730691,Hold,Hold,Hold
241,14:22:01,316.9476901730691,Hold,Hold,Hold
242,14:22:02,316.9476901730691,Hold,Hold,Hold
243,14:22:03,316.9476901730691,Hold,Hold,Hold
244,14:22:04,316.9476901730691,Hold,Hold,Hold
245,14:22:05,316.9476901730691,Hold,Hold,Hold
246,14:22:06,316.9476901730691,Hold,Hold,Hold
247,14:22:07,316.9476901730691,Hold,Hold,Hold
248,14:22:08,316.9476901730691,Hold,Hold,Hold
249,14:22:09,316.9476901730691,Hold,Hold,Hold
250,14:22:10,316.9476901730691,Hold,Hold,Hold
251,14:22:11,316.9476901730691,Hold,Hold,Hold
252,14:22:12,316.9476901730691,Hold,Hold,Hold
253,14:22:13,316.9476901730691,Hold,Hold,Hold
254,14:22:14,316.9476901730691,Hold,Hold,Hold
255,14:22:15,316.9476901730691,Hold,Hold,Hold
256,14:22:16,316.9476901730691,Hold,Hold,Hold
257,14:22:17,316.9476901730691,Hold,Hold,Hold
258,14:22:18,316.9476901730691,Hold,Hold,Hold
259,14:22:19,316.9476901730691,Hold,Hold,Hold
260,14:22:20,316.9476901730691,Hold,Hold,Hold
261,14:22:21,316.9476901730691,Hold,Hold,Hold
262,14:22:22,316.9476901730691,Hold,Hold,Hold
263,14:22:23,316.9476901730691,Hold,Hold,Hold
264,14:22:24,316.9476901730691,Hold,Hold,Hold
265,14:22:25,316.9476901730691,Hold,Hold,Hold
266,14:22:26,316.9476901730691,Hold,Hold,Hold
267,14:22:27,316.9476901730691,Hold,Hold,Hold
268,14:22:28,316.9476901730691,Hold,Hold,Hold
269,14:22:29,316.9476901730691,Hold,Hold,Hold
270,14:22:30,316.9476901730691,Hold,Hold,Hold
271,14:22:31,316.9476901730691,Hold,Hold,Hold
272,14:22:32,316.9476901730691,Hold,Hold,Hold
273,14:22:33,316.9476901730691,Hold,Hold,Hold
274,14:22:34,316.9476901730691,Hold,Hold,Hold
275,14:22:35,316.9476901730691,Hold,Hold,Hold
276,14:22:36,316.9476901730691,Hold,Hold,Hold
277,14:22:37,316.9476901730691,Hold,Hold,Hold
278,14:22:38,316.9476901730691,Hold,Hold,Hold
279,14:22:39,316.9476901730691,Hold,Hold,Hold
280,14:22:40,316.9476901730691,Hold,Hold,Hold
281,14:22:41,316.9476901730691,Hold,Hold,Hold
282,14:22:42,316.9476901730691,Hold,Hold,Hold
283,14:22:43,316.9476901730691,Hold,Hold,Hold
284,14:22:44,316.9476901730691,Hold,Hold,Hold
285,14:22:45,316.9476901730691,Hold,Hold,Hold
286,14:22:46,316.9476901730691,Hold,Hold,Hold
287,14:22:47,316.9476901730691,Hold,Hold,Hold
288,14:22:48,316.9476901730691,Hold,Hold,Hold
289,14:22:49,316.9476901730691,Hold,Hold,Hold
290,14:22:50,316.9476901730691,Hold,Hold,Hold
291,14:22:51,316.9476901730691,Hold,Hold,Hold
292,14:22:52,316.9476901730691,Hold,Hold,Hold
293,14:22:53,316.9476901730691,Hold,Hold,Hold
294,14:22:54,316.9476901730691,Hold,Hold,Hold
295,14:22:55,316.9476901730691,Hold,Hold,Hold
296,14:22:56,316.9476901730691,Hold,Hold,Hold
