Trade_time,Weighted_Avg_Price,Trade_Volume
07:30:04,161.0,4
07:30:11,162.0,5
07:30:13,163.0,2
07:30:14,165.0,2
07:30:16,164.0,1
07:30:17,162.0,8
07:30:19,160.67,3
07:30:20,160.0,3
07:30:21,161.25,4
07:30:22,161.0,5
07:30:23,159.0,3
07:30:24,162.0,5
07:30:31,165.0,3
07:30:33,164.0,2
07:30:34,162.0,5
07:30:41,161.0,2
07:30:42,160.0,1
07:30:44,160.0,3
07:30:47,161.5,2
07:30:48,161.0,3
07:30:51,161.0,4
07:30:54,159.4,5
07:30:55,158.0,5
07:30:58,159.33,9
07:31:02,154.0,2
07:31:03,156.0,4
07:31:04,156.0,1
07:31:05,154.0,3
07:31:12,161.0,1
07:31:14,161.29,7
07:31:16,160.0,6
07:31:17,159.0,2
07:31:18,159.5,2
07:31:19,160.0,3
07:31:21,159.0,5
07:31:25,160.0,1
07:31:27,162.4,5
07:31:30,164.0,1
07:31:32,161.0,2
07:31:35,162.0,2
07:31:36,162.33,3
07:31:37,159.67,3
07:31:39,159.5,8
07:31:40,158.0,1
07:31:42,161.0,1
07:31:43,158.0,4
07:31:44,159.0,3
07:31:45,163.8,10
07:31:48,161.4,5
07:31:49,164.0,1
07:31:51,160.17,6
07:31:53,160.0,2
07:31:54,160.0,1
07:31:55,160.0,1
07:31:56,161.0,4
07:31:59,160.5,2
07:32:01,160.0,5
07:32:06,161.0,6
07:32:11,161.0,2
07:32:13,161.0,1
07:32:14,161.0,4
07:32:15,160.67,3
07:32:16,160.67,3
07:32:18,159.0,4
07:32:22,160.0,3
07:32:26,161.0,4
07:32:28,155.83,6
07:32:29,163.0,1
07:32:31,164.0,1
07:32:32,164.0,1
07:32:34,162.5,4
07:32:36,161.0,2
07:32:37,161.0,2
07:32:41,163.0,3
07:32:43,162.0,2
07:32:47,161.0,5
07:32:49,164.0,1
07:32:51,161.0,2
07:32:52,161.0,1
07:32:55,160.0,3
07:32:58,161.0,2
07:33:03,163.0,1
07:33:05,162.0,5
07:33:06,164.0,4
07:33:09,164.0,1
07:33:10,163.0,1
07:33:11,161.5,4
07:33:14,161.0,7
07:33:18,161.0,1
07:33:23,161.0,1
07:33:25,159.33,3
07:33:27,159.0,3
07:33:28,163.0,4
07:33:32,163.0,1
07:33:34,161.0,2
07:33:36,160.25,4
07:33:39,158.0,1
07:33:40,155.0,1
07:33:41,156.0,2
07:33:43,158.0,7
07:33:45,159.57,7
07:33:49,159.0,4
07:33:50,156.0,1
07:33:51,158.0,1
07:33:56,160.0,3
07:33:58,160.5,4
07:33:59,162.0,3
07:34:01,161.0,7
07:34:02,162.0,3
07:34:03,160.33,3
07:34:09,164.0,2
07:34:11,164.0,2
07:34:12,163.0,2
07:34:14,163.6,5
07:34:16,161.8,5
07:34:18,160.0,1
07:34:19,160.0,1
07:34:21,159.5,4
07:34:22,160.0,1
07:34:25,160.43,7
07:34:27,158.4,5
07:34:28,161.2,5
07:34:29,154.4,5
07:34:35,154.57,7
07:34:37,156.73,11
07:34:38,161.0,1
07:34:39,161.0,4
07:34:41,156.0,2
07:34:43,159.67,6
07:34:45,158.0,3
07:34:47,164.0,2
07:34:48,164.0,2
07:34:49,159.0,4
07:34:53,156.36,14
07:34:54,162.0,2
07:34:56,163.0,2
07:34:57,162.0,8
07:35:06,162.0,3
07:35:07,161.0,7
07:35:08,159.0,7
07:35:09,162.12,8
07:35:11,160.0,2
07:35:13,163.0,2
07:35:17,162.33,9
07:35:19,160.0,1
07:35:21,156.67,3
07:35:25,158.0,2
07:35:26,155.25,4
07:35:27,161.5,4
07:35:28,163.0,4
07:35:30,161.0,2
07:35:32,161.0,3
07:35:33,161.0,2
07:35:36,160.8,5
07:35:38,159.67,3
07:35:40,158.67,3
07:35:43,157.5,4
07:35:45,158.0,4
07:35:46,157.0,2
07:35:47,156.33,3
07:35:48,156.0,1
07:35:52,159.0,1
07:35:54,159.0,7
07:35:55,162.0,1
07:35:56,161.0,1
07:35:58,158.5,6
07:36:00,156.0,1
07:36:01,161.75,8
07:36:02,163.0,3
07:36:07,163.0,1
07:36:10,161.5,4
07:36:12,160.0,2
07:36:13,160.0,4
07:36:14,159.0,1
07:36:15,158.0,3
07:36:16,156.0,2
07:36:18,161.71,7
07:36:22,156.6,5
07:36:23,158.0,3
07:36:24,152.0,1
07:36:30,156.0,1
07:36:32,160.5,6
07:36:33,153.0,1
07:36:34,160.5,4
07:36:36,161.0,1
07:36:38,160.0,1
07:36:39,160.0,2
07:36:40,157.5,4
07:36:43,153.0,10
07:36:48,158.0,2
07:36:50,154.0,1
07:36:51,152.0,2
07:36:52,152.5,2
07:36:53,154.0,2
07:36:55,155.33,3
07:36:56,159.0,3
07:36:59,164.0,2
07:37:01,156.4,5
07:37:02,158.0,2
07:37:03,158.0,4
07:37:04,158.67,3
07:37:05,160.0,2
07:37:06,164.0,4
07:37:07,159.43,7
07:37:09,159.0,5
07:37:11,156.5,2
07:37:13,157.0,5
07:37:15,156.0,1
07:37:17,157.0,3
07:37:22,161.0,4
07:37:25,159.5,8
07:37:29,164.0,2
07:37:31,164.0,6
07:37:32,164.0,2
07:37:36,163.38,8
07:37:37,161.0,2
07:37:39,158.5,2
07:37:40,156.8,5
07:37:41,160.29,7
07:37:42,156.25,4
07:37:43,154.0,3
07:37:44,152.0,2
07:37:45,154.0,7
07:37:49,156.8,5
07:37:53,157.0,6
07:37:54,162.5,4
07:37:55,161.0,4
07:37:58,152.0,2
07:38:00,150.5,4
07:38:01,150.0,5
07:38:02,149.5,2
07:38:05,149.0,5
07:38:06,154.75,4
07:38:07,154.0,2
07:38:10,161.0,1
07:38:13,164.0,3
07:38:15,162.5,2
07:38:17,161.0,2
07:38:19,161.4,5
07:38:23,163.0,3
07:38:25,164.0,3
07:38:27,164.0,3
07:38:28,164.0,1
07:38:29,161.0,5
07:38:30,161.0,2
07:38:31,158.5,4
07:38:32,156.0,5
07:38:33,156.0,1
07:38:36,155.29,7
07:38:38,156.0,5
07:38:43,160.5,4
07:38:45,160.0,5
07:38:46,159.67,3
07:38:53,164.0,4
07:38:54,163.0,1
07:38:56,163.0,2
07:38:58,162.0,2
07:39:00,161.0,2
07:39:03,161.0,1
07:39:06,163.0,6
07:39:07,161.0,8
07:39:11,161.0,2
07:39:12,161.0,6
07:39:13,159.0,4
07:39:19,161.33,3
07:39:20,157.0,4
07:39:22,158.0,1
07:39:23,161.0,4
07:39:24,160.0,1
07:39:26,158.5,4
07:39:27,158.0,1
07:39:30,161.0,8
07:39:32,158.56,9
07:39:33,161.0,2
07:39:34,157.88,8
07:39:40,160.29,7
07:39:42,161.0,3
07:39:43,164.0,2
07:39:45,161.0,2
07:39:46,158.25,4
07:39:47,158.0,1
07:39:49,156.0,1
07:39:53,163.0,2
07:39:54,163.0,2
07:39:56,161.0,3
07:39:58,161.0,3
07:39:59,161.0,2
07:40:00,160.0,1
07:40:01,159.0,2
07:40:02,160.0,4
07:40:03,161.0,1
07:40:04,164.0,3
07:40:06,159.67,6
07:40:07,159.0,5
07:40:08,159.0,3
07:40:15,158.0,1
07:40:19,161.33,6
07:40:21,160.0,4
07:40:22,160.0,4
07:40:23,160.0,2
07:40:25,159.0,4
07:40:26,159.0,4
07:40:28,158.12,8
07:40:29,159.14,7
07:40:31,158.0,4
07:40:34,158.0,1
07:40:39,163.0,2
07:40:40,160.0,4
07:40:41,159.75,12
07:40:42,157.67,6
07:40:44,160.0,2
07:40:48,162.0,5
07:40:49,160.0,4
07:40:52,157.5,2
07:40:53,155.25,4
07:40:56,159.0,1
07:40:57,159.67,6
07:40:58,158.33,6
07:40:59,155.0,2
07:41:01,153.29,7
07:41:03,148.67,3
07:41:04,151.43,7
07:41:06,150.0,3
07:41:09,156.0,3
07:41:11,153.67,3
07:41:17,163.0,1
07:41:18,163.0,5
07:41:20,163.0,4
07:41:21,163.0,3
07:41:24,160.8,5
07:41:26,161.0,2
07:41:27,161.0,2
07:41:28,160.0,3
07:41:30,160.0,8
07:41:31,160.8,5
07:41:32,158.25,4
07:41:33,159.0,2
07:41:38,158.2,5
07:41:40,157.0,7
07:41:41,156.5,2
07:41:44,161.67,6
07:41:49,160.0,5
07:41:54,162.17,6
07:41:55,163.0,1
07:41:56,163.0,5
07:41:57,163.0,3
07:42:02,161.5,2
07:42:03,160.0,3
07:42:05,158.8,15
07:42:07,163.0,5
07:42:08,162.33,3
07:42:09,162.0,1
07:42:15,161.6,5
07:42:16,160.0,3
07:42:19,160.0,5
07:42:20,159.0,3
07:42:21,159.0,3
07:42:23,159.25,8
07:42:24,158.33,6
07:42:25,157.5,2
07:42:26,159.5,2
07:42:27,157.0,2
07:42:28,159.0,2
07:42:30,159.67,3
07:42:34,162.0,1
07:42:35,162.0,1
07:42:38,159.25,4
07:42:39,159.0,1
07:42:40,157.17,6
07:42:41,157.0,1
07:42:42,157.67,3
07:42:44,163.0,3
07:42:45,159.67,3
07:42:47,160.0,1
07:42:48,160.0,4
07:42:51,157.75,4
07:42:52,154.0,2
07:42:53,154.43,7
07:42:55,152.0,3
07:42:56,151.0,2
07:43:00,144.0,1
07:43:01,145.25,8
07:43:02,161.0,1
07:43:04,161.0,5
07:43:08,161.0,1
07:43:10,161.5,4
07:43:11,158.11,9
07:43:12,158.0,6
07:43:13,158.0,1
07:43:14,158.0,2
07:43:20,162.0,1
07:43:22,161.25,8
07:43:23,157.0,7
07:43:25,157.0,4
07:43:26,157.5,2
07:43:30,154.2,5
07:43:33,157.8,5
07:43:34,153.0,1
07:43:35,153.0,4
07:43:37,163.0,1
07:43:42,163.0,3
07:43:43,163.0,5
07:43:44,162.25,4
07:43:46,160.25,4
07:43:51,160.89,9
07:43:58,163.0,9
07:43:59,161.0,2
07:44:01,161.0,3
07:44:03,160.0,5
07:44:04,158.0,5
07:44:07,158.0,4
07:44:09,159.0,2
07:44:14,158.5,2
07:44:15,161.0,3
07:44:16,157.0,5
07:44:24,161.5,2
07:44:25,161.0,1
07:44:26,159.25,4
07:44:27,157.0,1
07:44:30,155.0,6
07:44:31,153.25,12
07:44:32,153.0,2
07:44:33,153.0,3
07:44:37,161.8,5
07:44:40,161.4,5
07:44:41,160.0,2
07:44:42,160.0,3
07:44:45,160.0,1
07:44:49,160.0,3
07:44:50,160.6,5
07:44:51,160.0,8
07:44:56,160.0,3
07:44:57,160.0,5
07:44:59,160.0,3
07:45:00,159.0,5
07:45:02,157.25,4
07:45:05,160.5,4
07:45:06,159.0,4
07:45:09,159.0,6
07:45:12,158.75,4
07:45:13,158.0,3
07:45:15,156.0,8
07:45:16,157.0,9
07:45:18,158.0,1
07:45:22,161.0,1
07:45:27,161.0,1
07:45:31,160.0,1
07:45:33,162.0,2
07:45:34,162.0,3
07:45:40,160.6,5
07:45:41,159.0,2
07:45:42,158.33,3
07:45:43,157.89,9
07:45:44,157.0,5
07:45:45,157.0,1
07:45:47,159.0,3
07:45:48,159.0,5
07:45:49,158.33,6
07:45:50,160.0,1
07:45:55,160.0,3
07:45:59,162.0,1
07:46:01,161.33,3
07:46:02,161.0,4
07:46:03,160.0,4
07:46:04,160.0,3
07:46:05,158.29,7
07:46:06,157.4,5
07:46:07,157.0,3
07:46:08,158.0,2
07:46:09,157.0,1
07:46:12,158.0,5
07:46:19,159.0,3
07:46:21,153.5,6
07:46:23,161.33,3
07:46:24,156.0,1
07:46:26,160.0,5
07:46:28,161.0,3
